created_at;Tweet;username
Sat Nov 04 11:46:11 +0000 2023;generasi Z udah standby;arifsaptaaaa
Sat Nov 04 11:39:58 +0000 2023;LAGU   PAK HAJI GANJAR PRANOWO. SH. MIP  PAKAR INOVASI RANCANG BANGUN REKAYASA ILMIAH HITECH DI ERA MILENIUM,GENERASI Z,REVOLUSI INDUSTRI 4.0 , ERA 5 G , UMKM  Banyak Kepala Daerah BERGURU ke Pak Ganjar soal PENURUNAN KEMISKINAN , UMKM DAN INVESTASI   https://t.co/H0vdzfiLXK;sabar_setiabudi
Sat Nov 04 11:39:35 +0000 2023;LAGU   PAK HAJI GANJAR PRANOWO. SH. MIP  PAKAR INOVASI RANCANG BANGUN REKAYASA ILMIAH HITECH DI ERA MILENIUM,GENERASI Z,REVOLUSI INDUSTRI 4.0 , ERA 5 G , UMKM  Banyak Kepala Daerah BERGURU ke Pak Ganjar soal PENURUNAN KEMISKINAN , UMKM DAN INVESTASI   https://t.co/H0vdzfiLXK;sabar_setiabudi
Sat Nov 04 11:39:20 +0000 2023;LAGU   PAK HAJI GANJAR PRANOWO. SH. MIP  PAKAR INOVASI RANCANG BANGUN REKAYASA ILMIAH HITECH DI ERA MILENIUM,GENERASI Z,REVOLUSI INDUSTRI 4.0 , ERA 5 G , UMKM  Banyak Kepala Daerah BERGURU ke Pak Ganjar soal PENURUNAN KEMISKINAN , UMKM DAN INVESTASI   https://t.co/H0vdzfiLXK;sabar_setiabudi
Sat Nov 04 11:38:24 +0000 2023;LAGU   PAK HAJI GANJAR PRANOWO. SH. MIP  PAKAR INOVASI RANCANG BANGUN REKAYASA ILMIAH HITECH DI ERA MILENIUM,GENERASI Z,REVOLUSI INDUSTRI 4.0 , ERA 5 G , UMKM  Banyak Kepala Daerah BERGURU ke Pak Ganjar soal PENURUNAN KEMISKINAN , UMKM DAN INVESTASI   https://t.co/H0vdzfiLXK;sabar_setiabudi
Sat Nov 04 11:34:23 +0000 2023;generasi Z siap ngeramein;sapto_yusnardi
Sat Nov 04 11:28:36 +0000 2023;@aniesmania @gm_gm Walaupun bukan generasi z, melihat poster itu sangat muak;wawid_W2D
Sat Nov 04 11:20:39 +0000 2023;Menggunakan poster buatan AI untuk branding bahwa mereka adalah pendukung generasi muda, Gen Milenial dan Gen Z, tapi di sisi lain menggunakan cara-cara jaman kegelapan  KKN.;v60coffeebreak
Sat Nov 04 10:49:58 +0000 2023;@meiskiee @tanyakanrl Ya karena generasi Z ini yg bikin heboh. Lah wong bapak ibu di kompleksku waktu puasa kemarin ada org palestina diundang buat jadi penceramah dan imam pada gk antusias banget;Fikfinicky990
Sat Nov 04 10:47:23 +0000 2023;@Tan_Mar3M Kalau kaum milenia dan generasi z muak  berarti tidak akan memilih psi;Anthon_drato
Sat Nov 04 10:41:11 +0000 2023;Hallo gais, bantu isi kuesioner Tugas Akhir ini ya. Kriterianya: 1. Generasi millenial/ Gen Z 2. sudah bekerja atau belum bekerja 4. Sedang atau dalam proses melamar pekerjaan 5. Berdomisili di daerah Jabodetabek dan Bandung  https://t.co/U8GHkiHeIL  Terimakasih atas bantuannya🫶;kwetiawgmz
Sat Nov 04 10:40:26 +0000 2023;"@tang__kira Betul. Makanya gua gk pernah percaya sm kata2 gen z millenial dll. Kalo gua simple kalo gen z jelek"" itu berarti salah generasi sblmnya. Kan gen z jg lahir gk langsung kerja tp bljar dan dididik sm gen sebelumnya. Dan kesulitan tiap orng itu beda. Beda zaman beda tantangan""";ttukpuzzle48640
Sat Nov 04 10:39:49 +0000 2023;Hallo gais, bantu isi kuesioner Tugas Akhir ini ya. Kriterianya: 1. Generasi millenial/ Gen Z 2. sudah bekerja atau belum bekerja 4. Sedang atau dalam proses melamar pekerjaan 5. Berdomisili di daerah Jabodetabek dan Bandung  https://t.co/9AjrUiVAJ9  Terimakasih atas bantuannya🫶;iwuvuvee
Sat Nov 04 10:39:41 +0000 2023;@tanyarlfes satu generasi gen z bagusnya ngungsi ke gaza saja;kecovva
Sat Nov 04 10:23:18 +0000 2023;@kompascom Kasian generasi Z ,mereka melihat pembodohan dan pembohongan dari Paman Usman🙃;99azansanad
